Name,BioguideID,District,Party,State,Terms
"Schiff, Adam B.",S001150,N/A,Democratic,California,"Start: 2001, End: 2024, Chamber: House of Representatives; Start: 2024, End: N/A, Chamber: Senate"
"Spratt, John M., Jr.",S000749,5,Democratic,South Carolina,"Start: 1983, End: 2011, Chamber: House of Representatives"
"Armstrong, Kelly",A000377,N/A,Republican,North Dakota,"Start: 2019, End: 2024, Chamber: House of Representatives"
"Leach, James A.",L000169,2,Republican,Iowa,"Start: 1977, End: 2007, Chamber: House of Representatives"
"Buck, Ken",B001297,4,Republican,Colorado,"Start: 2015, End: 2024, Chamber: House of Representatives"
"Kim, Andy",K000394,N/A,Democratic,New Jersey,"Start: 2019, End: 2024, Chamber: House of Representatives; Start: 2024, End: N/A, Chamber: Senate"
"Butler, Laphonza R.",B001320,N/A,Democratic,California,"Start: 2023, End: 2024, Chamber: Senate"
"Ricketts, Pete",R000618,N/A,Republican,Nebraska,"Start: 2023, End: N/A, Chamber: Senate"
"Helmy, George S.",H001097,N/A,Democratic,New Jersey,"Start: 2024, End: 2024, Chamber: Senate"
"Stewart, Chris",S001192,2,Republican,Utah,"Start: 2013, End: 2023, Chamber: House of Representatives"
"Clarke, Yvette D.",C001067,9,Democratic,New York,"Start: 2007, End: N/A, Chamber: House of Representatives"
"Wied, Tony",W000829,8,Republican,Wisconsin,"Start: 2024, End: N/A, Chamber: House of Representatives"
"Lee Carter, Erica",L000605,18,Democratic,Texas,"Start: 2024, End: N/A, Chamber: House of Representatives"
"Patterson, Jerry M.",P000121,38,Democratic,California,"Start: 1975, End: 1985, Chamber: House of Representatives"
"Ireland, Andrew P.",I000029,10,Republican,Florida,"Start: 1977, End: 1993, Chamber: House of Representatives"
"Hobson, David L.",H000666,7,Republican,Ohio,"Start: 1991, End: 2009, Chamber: House of Representatives"
"Gaetz, Matt",G000578,1,Republican,Florida,"Start: 2017, End: 2024, Chamber: House of Representatives"
"Norcross, Donald",N000188,1,Democratic,New Jersey,"Start: 2014, End: N/A, Chamber: House of Representatives"
"Young, Todd",Y000064,N/A,Republican,Indiana,"Start: 2011, End: 2017, Chamber: House of Representatives; Start: 2017, End: N/A, Chamber: Senate"
